2026-08-12 02:42:08 status half-configured libbz2-1.0:amd64 1.0.8-6
2026-08-12 02:42:08 status installed libbz2-1.0:amd64 1.0.8-6
2026-08-12 02:42:08 configure libbsd0:amd64 0.12.2-2 <none>
2026-08-12 02:42:08 status unpacked libbsd0:amd64 0.12.2-2
2026-08-12 02:42:08 status half-configured libbsd0:amd64 0.12.2-2
2026-08-12 02:42:08 status installed libbsd0:amd64 0.12.2-2
2026-08-12 02:42:08 configure libblkid1:amd64 2.41-5 <none>
2026-08-12 02:42:08 status unpacked libblkid1:amd64 2.41-5
2026-08-12 02:42:08 status half-configured libblkid1:amd64 2.41-5
2026-08-12 02:42:08 status installed libblkid1:amd64 2.41-5
2026-08-12 02:42:08 configure libstdc++6:amd64 14.2.0-19 <none>
2026-08-12 02:42:08 status unpacked libstdc++6:amd64 14.2.0-19
2026-08-12 02:42:08 status half-configured libstdc++6:amd64 14.2.0-19
2026-08-12 02:42:08 status installed libstdc++6:amd64 14.2.0-19
2026-08-12 02:42:08 configure dash:amd64 0.5.12-12 <none>
2026-08-12 02:42:08 status unpacked dash:amd64 0.5.12-12
2026-08-12 02:42:08 status half-configured dash:amd64 0.5.12-12
2026-08-12 02:42:08 status installed dash:amd64 0.5.12-12
2026-08-12 02:42:08 configure libtinfo6:amd64 6.5+20250216-2 <none>
2026-08-12 02:42:08 status unpacked libtinfo6:amd64 6.5+20250216-2
2026-08-12 02:42:08 status half-configured libtinfo6:amd64 6.5+20250216-2
2026-08-12 02:42:08 status installed libtinfo6:amd64 6.5+20250216-2
2026-08-12 02:42:08 configure bash:amd64 5.2.37-2+b9 <none>
2026-08-12 02:42:08 status unpacked bash:amd64 5.2.37-2+b9
2026-08-12 02:42:08 status half-configured bash:amd64 5.2.37-2+b9
2026-08-12 02:42:08 status installed bash:amd64 5.2.37-2+b9
2026-08-12 02:42:08 configure libzstd1:amd64 1.5.7+dfsg-1 <none>
2026-08-12 02:42:08 status unpacked libzstd1:amd64 1.5.7+dfsg-1
2026-08-12 02:42:08 status half-configured libzstd1:amd64 1.5.7+dfsg-1
2026-08-12 02:42:08 status installed libzstd1:amd64 1.5.7+dfsg-1
2026-08-12 02:42:08 configure liblzma5:amd64 5.8.1-1+deb13u1 <none>
2026-08-12 02:42:08 status unpacked liblzma5:amd64 5.8.1-1+deb13u1
2026-08-12 02:42:08 status half-configured liblzma5:amd64 5.8.1-1+deb13u1
2026-08-12 02:42:08 status installed liblzma5:amd64 5.8.1-1+deb13u1
2026-08-12 02:42:08 configure liblz4-1:amd64 1.10.0-4 <none>
2026-08-12 02:42:08 status unpacked liblz4-1:amd64 1.10.0-4
2026-08-12 02:42:08 status half-configured liblz4-1:amd64 1.10.0-4
2026-08-12 02:42:08 status installed liblz4-1:amd64 1.10.0-4
2026-08-12 02:42:08 configure libc-bin:amd64 2.41-12+deb13u3 <none>
2026-08-12 02:42:08 status unpacked libc-bin:amd64 2.41-12+deb13u3
2026-08-12 02:42:08 status half-configured libc-bin:amd64 2.41-12+deb13u3
2026-08-12 02:42:08 status installed libc-bin:amd64 2.41-12+deb13u3
2026-08-12 02:42:08 configure libsqlite3-0:amd64 3.46.1-7+deb13u1 <none>
2026-08-12 02:42:08 status triggers-pending libc-bin:amd64 2.41-12+deb13u3
2026-08-12 02:42:08 status unpacked libsqlite3-0:amd64 3.46.1-7+deb13u1
2026-08-12 02:42:08 status half-configured libsqlite3-0:amd64 3.46.1-7+deb13u1
2026-08-12 02:42:08 status installed libsqlite3-0:amd64 3.46.1-7+deb13u1
2026-08-12 02:42:08 configure ncurses-bin:amd64 6.5+20250216-2 <none>
2026-08-12 02:42:08 status unpacked ncurses-bin:amd64 6.5+20250216-2
2026-08-12 02:42:08 status half-configured ncurses-bin:amd64 6.5+20250216-2
2026-08-12 02:42:08 status installed ncurses-bin:amd64 6.5+20250216-2
2026-08-12 02:42:08 configure libacl1:amd64 2.3.2-2+b1 <none>
2026-08-12 02:42:08 status unpacked libacl1:amd64 2.3.2-2+b1
2026-08-12 02:42:08 status half-configured libacl1:amd64 2.3.2-2+b1
2026-08-12 02:42:08 status installed libacl1:amd64 2.3.2-2+b1
